노선번호,도로명,이정,X좌표값,Y좌표값,GRS80X좌표값,GRS80Y좌표값
0270,순천완주선,27.7000,35.168312759,127.445141638,240552.916070,285858.596825
0270,순천완주선,27.8000,35.169212845,127.445196308,240557.449647,285958.479000
0270,순천완주선,27.9000,35.170108735,127.445315327,240567.847417,286057.921891
0270,순천완주선,28.0000,35.170997329,127.445498286,240584.073413,286156.581504
0270,순천완주선,28.1000,35.171875554,127.445744554,240606.071505,286254.116555
0270,순천완주선,28.2000,35.172741198,127.446050013,240633.467414,286350.280039
0270,순천완주선,28.3000,35.173598291,127.446389658,240663.981303,286445.508912
0270,순천완주선,28.4000,35.174453718,127.446735522,240695.061811,286540.555659
0270,순천완주선,28.5000,35.175309144,127.447081395,240726.142380,286635.602403
0270,순천완주선,28.6000,35.176164569,127.447427274,240757.222950,286730.649147
0270,순천완주선,28.7000,35.177019992,127.447773161,240788.303520,286825.695892
0270,순천완주선,28.8000,35.177875415,127.448119055,240819.384089,286920.742636
0270,순천완주선,28.9000,35.178730836,127.448464956,240850.464668,287015.789378
0270,순천완주선,29.0000,35.179586256,127.448810865,240881.545237,287110.836121
0270,순천완주선,29.1000,35.180441675,127.449156781,240912.625806,287205.882865
0270,순천완주선,29.2000,35.181297093,127.449502704,240943.706375,287300.929610
0270,순천완주선,29.3000,35.182152510,127.449848635,240974.786944,287395.976354
0270,순천완주선,29.4000,35.183007925,127.450194573,241005.867522,287491.023096
0270,순천완주선,29.5000,35.183863339,127.450540518,241036.948091,287586.069839
0270,순천완주선,29.6000,35.184718752,127.450886471,241068.028659,287681.116583
0270,순천완주선,29.7000,35.185575342,127.451228010,241098.705978,287776.292136
0270,순천완주선,29.8000,35.186442714,127.451526116,241125.421241,287872.646154
0270,순천완주선,29.9000,35.187321233,127.451771051,241147.287430,287970.214956
0270,순천완주선,30.0000,35.188208704,127.451962201,241164.249879,288068.754680
0270,순천완주선,30.1000,35.189102908,127.452099086,241176.266198,288168.019027
0270,순천완주선,30.2000,35.190001611,127.452181363,241183.306348,288267.759877
0270,순천완주선,30.3000,35.190905403,127.452208838,241185.352651,288368.042679
0270,순천완주선,30.4000,35.191803521,127.452181398,241182.400285,288467.673242
0270,순천완주선,30.5000,35.192702227,127.452099152,241174.456255,288567.346288
0270,순천완주선,30.6000,35.193596433,127.451962290,241161.540622,288666.497632
0270,순천완주선,30.7000,35.194483907,127.451771153,241143.685629,288764.879547
0270,순천완주선,30.8000,35.195362429,127.451526217,241120.935900,288862.246135
0270,순천완주선,30.9000,35.196229804,127.451228091,241093.348300,288958.354017
0270,순천완주선,31.0000,35.197083863,127.450877520,241060.991790,289052.962990
0270,순천완주선,31.1000,35.197922821,127.450476408,241024.040800,289145.875898
0270,순천완주선,31.2000,35.198756494,127.450059011,240985.610203,289238.195848
0270,순천완주선,31.3000,35.199585026,127.449626371,240945.794817,289329.939312
0270,순천완주선,31.4000,35.200418695,127.449208958,240907.364221,289422.259263
0270,순천완주선,31.5000,35.201254333,127.448797474,240869.473459,289514.800163
0270,순천완주선,31.6000,35.202104058,127.448431876,240835.754887,289608.922983
0270,순천완주선,31.7000,35.202973278,127.448142333,240808.953099,289705.240086
0270,순천완주선,31.8000,35.203857702,127.447931952,240789.352888,289803.276536
0270,순천완주선,31.9000,35.204752475,127.447801813,240777.054921,289902.494067
0270,순천완주선,32.0000,35.205652155,127.447736551,240770.662400,290002.282762
0270,순천완주선,32.1000,35.206552632,127.447688799,240765.864024,290102.166995
0270,순천완주선,32.2000,35.207453699,127.447657624,240762.574984,290202.123604
0270,순천완주선,32.3000,35.208354179,127.447609965,240757.785210,290302.008247
0270,순천완주선,32.4000,35.209254133,127.447550065,240751.881210,290401.829639
0270,순천완주선,32.5000,35.210150345,127.447435304,240740.983825,290501.213280
0270,순천완주선,32.6000,35.211037271,127.447241179,240722.864899,290599.534269
0270,순천완주선,32.7000,35.211909974,127.446967605,240697.519273,290696.244726
0270,순천완주선,32.8000,35.212763667,127.446616078,240665.085967,290790.814240
0270,순천완주선,32.9000,35.213593666,127.446188525,240625.742853,290882.724157
0270,순천완주선,33.0000,35.214398499,127.445694391,240580.350761,290971.814882
0270,순천완주선,33.1000,35.215191432,127.445172214,240532.412228,291059.574203
0270,순천완주선,33.2000,35.215991998,127.444667726,240486.081336,291148.187853
0270,순천완주선,33.3000,35.216803277,127.444189225,240442.112113,291238.000867
0270,순천완주선,33.4000,35.217624655,127.443737075,240400.537924,291328.945283
0270,순천완주선,33.5000,35.218455571,127.443311585,240361.387087,291420.958935
0270,순천완주선,33.6000,35.219295443,127.442913054,240324.687095,291513.977263
0270,순천완주선,33.7000,35.220143681,127.442541762,240290.463676,291607.935003
0270,순천완주선,33.8000,35.220999691,127.442197971,240258.740863,291702.766240
0270,순천완주선,33.9000,35.221862871,127.441881922,240229.540894,291798.404418
0270,순천완주선,34.0000,35.222732617,127.441593839,240202.884278,291894.782446
0270,순천완주선,34.1000,35.223608319,127.441333924,240178.789704,291991.832699
0270,순천완주선,34.2000,35.224489362,127.441102360,240157.274082,292089.487074
0270,순천완주선,34.3000,35.225375128,127.440899311,240138.352508,292187.677066
