VDS 코드,,
VDS_ID,GRS80X좌표값,GRS80Y좌표값
0010VDE07200,385987.405361,305385.552715
0010VDE07300,385931.509249,305468.384934
0010VDE07400,385878.740864,305553.257281
0010VDE07500,385826.622505,305638.531478
0010VDE07600,385774.264353,305723.658056
0010VDE07700,385721.835973,305808.740616
0010VDE07800,385670.077428,305894.232266
0010VDE07900,385617.83682,305979.430068
0010VDE08000,385565.859343,306064.790084
0010VDE08100,385516.205094,306151.49002
0010VDE08200,385476.945803,306243.256585
0010VDE08300,385452.84276,306340.121937
0010VDE08400,385445.4592,306439.626495
0010VDE08500,385454.579279,306539.036053
0010VDE08600,385478.556419,306635.967262
0010VDE08700,385515.362412,306728.826001
0010VDE08800,385561.863092,306817.26157
0010VDE08900,385609.487672,306905.121722
0010VDE09000,385658.258694,306992.353
0010VDE09100,385706.204123,307080.039469
0010VDE09200,385755.349334,307167.0576
0010VDE09300,385804.603107,307254.017845
0010VDE09400,385853.242164,307339.823492
0010VDE09500,385901.23977,307425.99052
0010VDE09600,385945.278685,307514.187926
0010VDE09700,385975.663365,307607.906907
0010VDE09800,385990.252205,307705.340926
0010VDE09900,385989.200772,307805.260451
0010VDE10000,385980.927453,307904.936123
0010VDE10100,385972.343527,308004.587084
0010VDE10200,385963.759554,308104.23804
0010VDE10300,385955.175433,308203.888983
0010VDE10400,385946.591277,308303.539924
0010VDE10500,385938.00712,308403.190864
0010VDE10600,385929.422964,308502.841804
0010VDE10700,385920.838807,308602.492744
0010VDE10800,385912.25465,308702.143684
0010VDE10900,385903.670494,308801.794624
0010VDE11000,385895.191847,308901.454442
0010VDE11100,385890.506062,309001.338012
0010VDE11200,385895.015751,309101.211056
0010VDE11300,385909.454151,309200.139983
0010VDE11400,385933.6678,309297.145409
0010VDE11500,385964.180683,309392.394003
0010VDE11650,385995.46987,309487.393921
0010VDE11700,386026.760716,309582.393293
0010VDE11800,386058.051512,309677.392681
0010VDE11900,386089.342354,309772.392053
0010VDE12000,386120.63321,309867.391421
0010VDE12100,386151.924067,309962.390789
0010VDE12200,386183.219417,310057.388675
0010VDE12300,386214.549716,310152.375042
0010VDE12400,386245.718829,310247.413769
0010VDE12500,386275.369762,310342.933667
0010VDE12600,386302.682769,310439.147587
0010VDE12700,386327.519091,310536.031938
0010VDE12800,386350.877587,310633.285821
0010VDE12900,386374.134804,310730.564283
0010VDE13000,386397.392022,310827.842745
0010VDE13100,386420.649239,310925.121208
0010VDE13200,386443.906456,311022.39967
0010VDE13300,386467.163673,311119.678132
0010VDE13400,386490.42089,311216.956594
0010VDE13500,386513.678107,311314.235056
0010VDE13600,386537.214151,311411.445237
0010VDE13650,386561.699225,311508.421663
0010VDE13651,386588.003606,311604.920292
0010VDE13700,386615.898202,311700.970483
0010VDE13800,386645.385559,311796.543135
0010VDE13900,386676.457532,311891.611903
0010VDE14100,386708.4721,311986.369113
0010VDE14200,386740.678838,312081.061897
0010VDE14300,386772.885562,312175.754685
0010VDE14400,386804.69866,312270.578748
0010VDE14500,386832.926724,312366.523263
0010VDE14600,386856.90003,312463.616974
0010VDE14700,386876.475158,312561.693223
0010VDE14800,386891.65942,312660.544317
0010VDE14900,386904.152779,312759.780805
0010VDE15000,386916.581347,312859.025592
0010VDE15100,386929.009878,312958.270383
0010VDE15200,386941.43841,313057.515174
0010VDE15300,386953.869825,313156.782993
0010VDE15400,386966.30124,313256.050812
0010VDE15500,386978.732655,313355.318631
0010VDE15600,386991.16407,313454.58645
0010VDE15700,387003.595485,313553.854269
0010VDE15800,387016.026696,313653.122113
0010VDE15900,387028.457857,313752.389963
0010VDE16000,387040.889018,313851.657813
0010VDE16100,387055.155024,313950.670595
0010VDE16200,387073.855549,314048.940997
0010VDE16300,387096.946178,314146.271934
0010VDE16400,387124.37444,314242.472117
0010VDE16500,387156.494906,314337.198625
0010VDE16600,387190.865035,314431.150555
0010VDE16700,387224.949963,314525.208291
0010VDE16800,387259.034891,314619.266026
0010VDE16900,387293.119818,314713.323761
0010VDE17000,387327.204746,314807.381497
0010VDE17100,387361.289673,314901.439232
0010VDE17200,387395.374601,314995.496968
0010VDE17300,387429.459528,315089.554703
0010VDE17400,387463.544291,315183.612498
