"행정구역별(읍면동)","항목","단위","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년",
"광주광역시","외국인-여자[명]","명","9381","10490","11520","13232","14938","14265",
"광주광역시","가구-계[가구]","가구","573181","575918","583068","586263","596078","608316",
"광주광역시","일반가구[가구]","가구","567157","569372","575732","578559","587159","599217",
"광주광역시","집단가구[가구]","가구","438","340","389","404","418","395",
"광주광역시","외국인가구[가구]","가구","5586","6206","6947","7300","8501","8704",
"광주광역시","주택-계[호]","호","486527","494547","505471","514767","526161","538275",
"광주광역시","단독주택[호]","호","88401","87351","86652","85194","82695","81315",
"광주광역시","아파트[호]","호","376731","384750","395976","406329","419567","432295",
"광주광역시","연립주택[호]","호","7396","8353","8427","8810","9383","9972",
"광주광역시","다세대주택[호]","호","8517","8502","8505","8561","8649","8863",
"광주광역시","비거주용 건물내 주택[호]","호","5482","5591","5911","5873","5867","5830",
"광주광역시","주택이외의 거처[호]","호","10625","11510","13413","13538","14214","15016",
"동구","총인구[명]","명","104173","101293","100914","99870","103754","106005",
"동구","남자[명]","명","52286","50763","50531","49942","51747","52810",
"동구","여자[명]","명","51887","50530","50383","49928","52007","53195",
"동구","내국인-계[명]","명","102759","99827","99346","97653","101181","103761",
"동구","내국인-남자[명]","명","51580","50024","49730","48758","50421","51647",
"동구","내국인-여자[명]","명","51179","49803","49616","48895","50760","52114",
"동구","외국인-계[명]","명","1414","1466","1568","2217","2573","2244",
"동구","외국인-남자[명]","명","706","739","801","1184","1326","1163",
"동구","외국인-여자[명]","명","708","727","767","1033","1247","1081",
"동구","가구-계[가구]","가구","44297","43773","44089","43709","45719","48193",
"동구","일반가구[가구]","가구","43841","43348","43634","43155","44954","47388",
"동구","집단가구[가구]","가구","64","44","49","54","55","55",
"동구","외국인가구[가구]","가구","392","381","406","500","710","750",
"동구","주택-계[호]","호","32068","32210","33266","34905","37639","40108",
"동구","단독주택[호]","호","13637","12998","12614","12150","11221","10867",
"동구","아파트[호]","호","14148","15075","16485","18515","22269","25080",
"동구","연립주택[호]","호","949","961","964","1049","913","921",
"동구","다세대주택[호]","호","2406","2281","2257","2252","2328","2353",
"동구","비거주용 건물내 주택[호]","호","928","895","946","939","908","887",
"동구","주택이외의 거처[호]","호","1478","1442","1484","1460","1472","1540",
"서구","총인구[명]","명","305512","309176","306054","302189","298033","294854",
"서구","남자[명]","명","151010","152661","151371","149109","147067","145078",
"서구","여자[명]","명","154502","156515","154683","153080","150966","149776",
